동별,사업체수 (개),종사자수 (명),평균종사자 (명),사업체밀도,종사자밀도(A) (명/㎢),인구밀도(B),종사자밀도비(A/B*100)
성내1동,3089,19008,6.15,5325.86,32772.41,34310.34,95.52
성내2동,2537,6978,2.75,3786.57,10414.93,35116.42,29.66
성내3동,3315,9342,2.82,4669.01,13157.75,32494.37,40.49
둔촌1동,23,246,10.7,25,267.39,79.35,336.99
둔촌2동,2080,9970,4.79,1333.33,6391.03,15562.18,41.07
암사1동,2709,6645,2.45,2655.88,6514.71,33599.02,19.39
천호2동,4736,16059,3.39,3016.56,10228.66,21544.59,47.48
길동,6509,20017,3.08,4042.86,12432.92,28182.61,44.12
강일동,1618,4963,3.07,715.93,2196.02,14626.99,15.01
상일1동,1741,7197,4.13,956.59,3954.4,21526.37,18.37
상일2동,541,19974,36.92,496.33,18324.77,10947.71,167.38
