,역사_ID,역사명,호선,위도,경도,주소
66,4512,운동장.송담대,에버라인선,37.237845,127.209198,"김량장동, 동성그린빌라, 처인구, 용인시, 경기도, 17153, 대한민국"
67,4511,김량장,에버라인선,37.237247,127.198781,"금학천 자전거길, 역북동, 처인구, 용인시, 경기도, 17055, 대한민국"
68,4510,명지대,에버라인선,37.237964,127.190294,"명지대, 금학천 자전거길, 역북동, 처인구, 용인시, 경기도, 17055, 대한민국"
69,4509,시청.용인대,에버라인선,37.239151,127.178406,"시청 용인대역 1번출구, 금학천 자전거길, 역북동, 처인구, 용인시, 경기도, 17020, 대한민국"
70,4508,삼가,에버라인선,37.242115,127.168075,"중부대로, 삼가동, 처인구, 용인시, 17091, 대한민국"
71,4506,초당,에버라인선,37.260752,127.159443,"초당, 초당지하차도, 기흥구, 용인시, 17013, 대한민국"
72,4505,동백,에버라인선,37.269043,127.152716,"동백, 동백3로, 중동, 기흥구, 용인시, 경기도, 17009, 대한민국"
73,4504,어정,에버라인선,37.274917,127.143714,"어정, 신갈천자전거길, 구갈동, 기흥구, 용인시, 경기도, 16977, 대한민국"
74,4503,지석,에버라인선,37.269606,127.136515,"신갈천자전거길, 구갈동, 기흥구, 용인시, 경기도, 16977, 대한민국"
75,4502,강남대,에버라인선,37.270161,127.126033,"강남대, 강남대지하차도, 구갈동, 기흥구, 용인시, 경기도, 16978, 대한민국"
76,4501,기흥,에버라인선,37.275449,127.116665,"기흥, 신갈천자전거길, 구갈동, 기흥구, 용인시, 경기도, 17065, 대한민국"
77,4411,관악산(서울대),신림선,37.4691018,126.9450639,"신림로3길, 녹두거리, 대학동, 관악구, 서울특별시, 08825, 대한민국"
78,4410,서울대벤처타운,신림선,37.4720019,126.9339351,"신림로, 서림동, 관악구, 서울특별시, 08845, 대한민국"
79,4409,서원,신림선,37.4782341,126.9330365,"신림로, 서원동, 관악구, 서울특별시, 08845, 대한민국"
80,4408,신림,신림선,37.4849266,126.9296159,"SK허브그린, 344, 신림로, 신림동, 관악구, 서울특별시, 08754, 대한민국"
81,4407,당곡,신림선,37.4902998,126.9275133,"보라매로, 보라매동, 관악구, 서울특별시, 08708, 대한민국"
